Proportion, R, G, B
0.4958306940866799, 145, 175, 192
0.5177315530644676, 144, 177, 202
0.5293385695986937, 142, 179, 207
0.4910677855087403, 149, 179, 200
0.5275326210886364, 154, 186, 211
0.44434109650818193, 157, 185, 200
0.5362428388440803, 146, 171, 189
0.5461307606408109, 139, 173, 205
0.5225989893444815, 171, 195, 212
0.509961572568726, 145, 180, 212
0.47296426108131695, 146, 182, 211
0.46010444378756526, 152, 174, 186
0.4432709767324015, 144, 174, 192
0.5203130498430528, 135, 174, 207
0.5803682276930873, 152, 177, 193
0.5394676463550244, 153, 184, 209
0.45588519520680326, 146, 178, 206
0.5851568768210802, 154, 176, 188
0.4924397899863463, 149, 179, 204
0.5190166518868854, 160, 183, 193
0.5066182944637718, 152, 188, 219
0.5024745576622609, 137, 174, 207
0.5354883662007517, 145, 172, 193
0.5650300111669458, 140, 178, 205
0.5259420351054995, 152, 179, 196
0.5057106259589262, 146, 178, 204
0.47076864020959497, 154, 181, 197
0.46170220761929304, 131, 173, 207
0.4289664132628957, 146, 181, 207
0.5312050448320031, 152, 173, 188
0.4929844199630632, 133, 170, 199
